mechanism,method,parameter,bias,RMSE,SD,estimated_SE,coverage_valid,valid_CI,SD_valid,CI_failure_rate,covered_and_available,bias_MCSE,replications
MCAR,oracle,M3_class1,0.00526105534094704,0.03385484087345714,0.0336120400996909,0.034187916995538845,0.98,100,0.0336120400996909,0.0,0.98,0.00336120400996909,100
MCAR,oracle,M3_class2,-0.0016267117192937041,0.03778320651293321,0.037938340503810945,0.03608707760045828,0.94,100,0.037938340503810945,0.0,0.94,0.0037938340503810945,100
MCAR,oracle,P000,-0.0009720506436919663,0.019569600333143037,0.019643910171174724,0.01971693329336283,0.95,100,0.019643910171174724,0.0,0.95,0.0019643910171174726,100
MCAR,oracle,P001,0.0017387239888078379,0.011654277897015248,0.011581901249672873,0.011498953952012468,0.95,100,0.011581901249672873,0.0,0.95,0.0011581901249672873,100
MCAR,oracle,P010,-0.0002373487792588569,0.012905402389800933,0.01296822365037422,0.012577126896278717,0.94,100,0.01296822365037422,0.0,0.94,0.0012968223650374222,100
MCAR,oracle,P011,-0.00030932314590343996,0.010180495416510345,0.010227058885696888,0.010779958425961671,0.96,100,0.010227058885696888,0.0,0.96,0.0010227058885696888,100
MCAR,oracle,P100,-0.00042391051927922953,0.009638214019787743,0.009677395788921303,0.009606862707300805,0.96,100,0.009677395788921303,0.0,0.96,0.0009677395788921303,100
MCAR,oracle,P101,-0.001202762321460209,0.010491468950400047,0.010474803030152347,0.011825106766720885,0.93,100,0.010474803030152347,0.0,0.93,0.0010474803030152348,100
MCAR,oracle,P110,0.0006333070569922547,0.010052920591447514,0.010083496597201338,0.009176260060162816,0.91,100,0.010083496597201338,0.0,0.91,0.0010083496597201337,100
MCAR,oracle,P111,0.0007733643637935514,0.019145400839257396,0.019226146991480956,0.018637740314872267,0.94,100,0.019226146991480956,0.0,0.94,0.0019226146991480955,100
MCAR,oracle,mean_Y1,-0.00022000141995367372,0.024046003116576325,0.024166130929435158,0.02218476547511266,0.9,100,0.024166130929435158,0.0,0.9,0.002416613092943516,100
